# Identificador    RA          DE         Plx     
  5224943   80.70604480019   8.53804271785   1.1695  
  5230909   80.78788245881   8.53136817947   0.761   
  5231890   80.82876910294   8.52156480905   1.2305  
  5224760   80.69852774348   8.61997239652   1.1923  
  5223151   80.63132957264   7.64680859512   1.9895  
  5224509   80.68790635713   8.6242365554    0.5595  
  5225408   80.72537055671   8.62136912192   0.5903  
  5224735   80.69730191845   8.60886776961   1.2524  
  5232008   80.83372697283   8.226874368     1.2848  
  5233859   80.91086058423   8.59896393559   0.9845  
  5224079   80.67000098627   8.67892239496   0.0641  
  5231384   80.80768756927   8.65662080276   0.3355  
  5231098   80.79586824555   7.76183149715   1.9363  
  5232861   80.86927561342   8.64251481679   1.2849  
  5231936   80.83070047688   8.27400806375   0.5404  
  5232017   80.83409409404   8.64943341171   0.3855  
